SAT Frequency 
[1] 1286
    SAT        SATF
0.677    1 0.0005149331
0.6777   1 0.0005149331
0.6782   1 0.0005149331
0.6791   1 0.0005149331
0.6804   2 0.0010298661
0.6812   1 0.0005149331
0.6814   1 0.0005149331
0.6816   2 0.0010298661
0.6829   1 0.0005149331
0.6832   1 0.0005149331
0.6833   1 0.0005149331
0.6836   1 0.0005149331
0.6838   1 0.0005149331
0.684    2 0.0010298661
0.6846   1 0.0005149331
0.6852   2 0.0010298661
0.6857   1 0.0005149331
0.686    1 0.0005149331
0.6862   1 0.0005149331
0.6863   1 0.0005149331
0.6865   1 0.0005149331
0.6866   1 0.0005149331
0.6867   1 0.0005149331
0.6868   1 0.0005149331
0.687    2 0.0010298661
0.6871   2 0.0010298661
0.6884   2 0.0010298661
0.6889   1 0.0005149331
0.6893   1 0.0005149331
0.6895   1 0.0005149331
0.6896   1 0.0005149331
0.6901   1 0.0005149331
0.6902   1 0.0005149331
0.6903   2 0.0010298661
0.6904   1 0.0005149331
0.6909   1 0.0005149331
0.691    1 0.0005149331
